"","text","score"
"122","behind every superman is a superwoman <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E66>",0
"123","when u see me you see them <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65><U+2764><U+FE0F>",0
"124","i couldn’t think of a better way to end the day …",1
"125","“somewhere behind the athlete you’ve become and the hours of practice and the coaches who have pushed you is a litt…",0
"126","my girls love him",1
"127","oh the places you ll go you have brains in your head you have feet in your shoes you can steer yourself any di…",0
"128","celebrating zumba ing with of <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61> sage ymca",0
"129","thursday <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E34> …",0
"130","disney with my girls",0
"131","",0
"132","happy to all of you international women <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39> …",1
"133","hey sorry to disrupt you with this but don t talk about fake fans cause new fans are always welcomed …",-1
"134","women <U+2764>",0
"135","<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E63> since we are celebrating women s day let me say thank u to and for making this funky jam co…",-1
"136","our girl is home <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> …",0
"137","behind every successful woman is a tribe of successful women …",2
"138","definitely an extreme happy place for me<U+203C><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+2764><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>",1
"139","i have had a lot of amazing presents today but this one is up there",1
"140","i’m obsessed with seeing women encourage support and empower other women it’s my favourite we need more of it <U+270C><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E37> …",3
"141","hell yes xxx",-1
"142","happy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>",1
"143","to the future <U+2764><U+FE0F>",0
"144","oh my heart look at my girls not long until i see my penny and even lucy she’s a…",0
"145","alert moggies",0
"146","here’s to all the mothers grandmothers sisters aunts nieces cousins coaches co workers and friends who teac…",0
"147","it s honoring fellows amp and…",1
"148","i’m obsessed with seeing women encourage support and empower other women it’s my favourite we need more of it <U+270C><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>…",3
"149","my mom 
my former pastor and youth pastor <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+613C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E37>
every day heroes 
stay at home moms …",0
"150","here s to strong women 
may we know them 
may we be them 
may we raise them 
happy international women s day <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>…",2
"151","my tribe my girls my everything you ladies inspire me to be the best me i can be i love you for making me who i…",3
"152","to these stunningly beautiful confident crazy smart and insanely strong women i love you and am so grateful…",4
"153","i will always be here to help fix your crowns …",0
