"","text","score"
"113","<U+2728>
welcome to the darkside <U+2B1B><U+FE0F>
the new 
 nite crawler pack <U+26BD><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+613C><U+3E34><U+26AB><U+26AA>
 
available now at …",1
"114","step up to the streets 
the new mid shoe 
available now",1
"115","i wonder when im going to post my next skit <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E63>",1
"116","loading",0
"117","the new pp collection has arrived and it is <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>see you all soon <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65> pp x season ii",0
"118","it s all good i ll wait until these tear up a bit more and i got some money…",1
"119","calling all creators 
who’s got next 

choose “rr” division during registra…",0
"120","mail day <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E35><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E35><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E61> hat keep bringing that sauce <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+200D><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E33> https …",0
"121","filming today with adidasfootball adidasuk <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E35>",0
"122","any city any time 
 no matter what",0
"123","mail day <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E35><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E35><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E61> hat keep bringing that sauce <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E66>…",0
"124","recognise athletes for creativity",0
"125","lights camera action <U+26A1><U+FE0F>
the ultimate stage belongs to leo messi",0
"126","bringing the <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> 
leo messi introduces the all new pyro storm 
available now",1
"127","leo messi lands in moscow 
next stop the <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36>",0
"128","agility the leo messi way 
the new skystalker available now",2
"129","today’s on feet courtesy of huge thanks for a great shoe and amazing price …",2
"130","quick pick of the am la s couldn t wait to take better pics it s like having …",2
"131","quick pick of the am la s couldn t wait to take better pics it s like having…",2
"132","imma rise to the top watch me<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E37>",1
"133","nite crawler <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E35>
–
shot for 
–
 …",0
"134","i ll repeat u everyday most beautiful and charming woman on earth …",2
"135","<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>new nemeziz mid tr pack in black amp olive color ways<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>
—
now available in limited quantities at…",0
"136","let’s add a bit of color to these snowy days",0
"137","check this video to meet our talent team of innovative …",2
"138","top spin for the win 
see creativity",2
"139","recognise us for what we are creators 
 
 ru",0
"140","attention 
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66> link in bio or here <U+2B07><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66>",0
"141","great to see current academy player stepping up a level in non league",1
"142","parley mids were supposed to be next but i couldn’t help myself <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>",0
"143","my this week 

 red notification badges are the devil",-1
"144","it’s ok to have more then one skill because we are not defined by one thing we do we are defined by all the things we do …",1
"145","welcome to the darkside <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E31>

the new adidas predator at intersport elverys",1
"146","per national leaderboard ’ jon scherer finished rd in the country in pt percentage and nd in ov…",0
"147","creators want to know and learn <U+263A><U+FE0F>",0
"148","per national leaderboard ’ jon scherer finished rd in the country in pt percentage and n…",0
"149","centurion 
 european goals for the greatest of all time",1
"150","think fast play explosive the nite crawler available now at",1
"151","when u looking so good n yet u amazing adidasza …",2
"152","excited to announce that will be running with in the 

 …",1
"153","preparation <U+2705>",0
"154","the re birth of an icon 
this is 
available november",1
"155","remember it’s not all about winning games and coming first it is about how you play how creative are you when y…",2
"156","is nothing just everything beacause will be haters do it dont be quite loud because…",-2
"157","creativity gets you noticed <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61>",0
"158","is nothing just everything beacause will be haters do it dont be quite loud…",-1
"159","up for auction next week htt…",0
"160","…",0
"161","sport needs creativity <U+2728>",0
"162","a journey like no other <U+200B>
serdar is <U+200B>

learn more at adidas careers",1
"163","superbe lot <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E30>",0
"164","bring your yoga flow to your work life and become a creator",1
"165","sometimes i wanna quit but art is addictive
rt it if you want",0
"166","coerver blog coerver ew head to for our 
 coach pro tour 

read more here <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>…",0
"167","we gave the a rossoneri masterclass… <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+623C><U+3E34><U+26AB>
watch the full episode here <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>",0
"168","bright day bright shoes",2
"169","hard work amp determination i will reach my ultimate goal everyday counts mistakes are made for a reason always l…",-1
"170","hosts trades and technology exploration day for young women reports …",0
"171","up for auction next week",0
"172","rising to the challenges of digital marketing 

kremena is 

learn more at adidas careers",0
"173","the world stage awaits <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36><U+26BD><U+FE0F>
leo messi introduces the official match ball for the 
 …",0
"174","half time show for aka “you against the world” created by 

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E63><U+26F9><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+200D><U+2642><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+200D><U+2642><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+200D><U+2642><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+200D><U+2640><U+FE0F>…",0
